Title,Link,Occupations,Companies,Company_location,Sepcs
Chief Accountant (Food and beverage),https://wuzzuf.net/jobs/p/ryaKRVYLOgwQ-Chief-Accountant-Food-and-beverage-Giza-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Sheikh Zayed, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 8 - 10 Yrs of Exp · Accounting/Finance · Banking · Operations/Management · Accounting · Accounting Systems · Financial Management · MS Office · Communication · Finance · Financial Analysis
Production Engineer,https://wuzzuf.net/jobs/p/3WBp2NwW0SxQ-Production-Engineer-MCC-for-confectionery-manufacturing-Sharqia-Egypt,Full TimeOn-site,MCC for confectionery manufacturing,"<span class=""css-5wys0k"">10th of Ramadan City, <!-- -->Sharqia, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Manufacturing/Production · Agriculture · ERP · English · SAP · Manufacturing · Communication skills · Production
Sales Advisor,https://wuzzuf.net/jobs/p/E4EEJsjr8fgq-Sales-Advisor-Tahawer-Properties-Dakahlia-Egypt,Full TimeOn-site,Tahawer Properties,"<span class=""css-5wys0k"">Mansoura, <!-- -->Dakahlia, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Sales/Retail · Team Leadership · Organizing
Sales & Marketing Executive,https://wuzzuf.net/jobs/p/NSi633i7qXX3-Sales-Marketing-Executive-Cairo-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Badr City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 1 - 5 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · CRM · Sales · Sales Target · Marketing · sales skills · Management · Market Research · Communication
Senior Recruitment & OD Specialist,https://wuzzuf.net/jobs/p/1ZNk6Hoa8yoW-Senior-Recruitment-OD-Specialist-TD-Design-Cairo-Egypt,Full TimeOn-site,T&D Design,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Human Resources · Administration · English · Communication · excel · Human Resources (HR) · OD · Recruitment · visio · Sourcing
Sr. Estimation Engineer,https://wuzzuf.net/jobs/p/g0kbokFVNb9k-Sr-Estimation-Engineer-GIECO-Alexandria-Egypt,Full TimeOn-site,GIECO,"<span class=""css-5wys0k"">Alexandria, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · AutoCAD · Communication · Estimation · Mechanical Engineering · tender
Methodology Supervisor (In-vitro),https://wuzzuf.net/jobs/p/perpNT10txLU-Methodology-Supervisor-In-vitro-Zeta-Pharma-Monufya-Egypt,Full TimeOn-site,Zeta Pharma,"<span class=""css-5wys0k"">Alsadat City, <!-- -->Monufya, <!-- -->Egypt </span>",Full TimeOn-siteManager · 6 - 8 Yrs of Exp · Medical/Healthcare · Quality · Quality Control · In-vitro Methodology · Supervisor
Full Stack Team Lead,https://wuzzuf.net/jobs/p/DzjbJ1PDwxrl-Full-Stack-Team-Lead-Holoolmed-Giza-Egypt,Full TimeOn-site,Holoolmed,"<span class=""css-5wys0k"">Sheikh Zayed, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteManager · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Agile · React · jQuery · JavaScript · SQL · Computer Science · Git
Financial Accountant,https://wuzzuf.net/jobs/p/cY0xJEw2sT2D-Financial-Accountant-Dreem-Mashreq-Foods-Alexandria-Egypt,Full TimeOn-site,Dreem Mashreq Foods ,"<span class=""css-5wys0k"">Smouha, <!-- -->Alexandria, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Accounting/Finance · Banking · Accounting · ERP · excel · Finance · Financial Analysis · Financial Management · Microsoft Excel · Management
Product Manager,https://wuzzuf.net/jobs/p/Sb8upCEkWWgy-Product-Manager-Sky-Medical-for-Medical-Devices-Giza-Egypt,Full TimeOn-site,Sky Medical for Medical Devices,"<span class=""css-5wys0k"">Mohandessin, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteManager · 6 - 9 Yrs of Exp · Sales/Retail · Pharmaceutical · Manager · Marketing · Product Management · product manager · Product
E-Commerce Specialist,https://wuzzuf.net/jobs/p/42BpzkeKT5iA-E-Commerce-Specialist-Yolo-Cosmetics-Cairo-Egypt,Full TimeOn-site,Yolo Cosmetics,"<span class=""css-5wys0k"">New Nozha, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Online Marketing · Digital Media Sales · E-Marketing · E-Commerce · Customer Service · Management · Marketing · Social Media
UX/UI Team Lead,https://wuzzuf.net/jobs/p/NlCkbvCUSvIB-UXUI-Team-Lead-egabi-solutions-Cairo-Egypt,Full TimeOn-site,egabi solutions,"<span class=""css-5wys0k"">Sheraton, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 7+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Computer Science · Agile · CSS3 · Design · HTML5 · Information Technology (IT) · InVision · Software
Light Current Sales Engineer,https://wuzzuf.net/jobs/p/SMO6O3GcOss1-Light-Current-Sales-Engineer-Capital-Guard-Cairo-Egypt,Full TimeOn-site,Capital Guard,"<span class=""css-5wys0k"">Sheraton, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Access Control · CCTV · Communication · Engineering · Electrical Engineering · Fire Alarm · Light Current · Sales
Senior Tender Engineer,https://wuzzuf.net/jobs/p/s9rovoFeOnmk-Senior-Tender-Engineer-Cairo-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Other · AutoCAD · Civil · Management · Engineering · Electrical · Mechanical
Junior Tender Engineer,https://wuzzuf.net/jobs/p/IMaC1zp4LTTD-Junior-Tender-Engineer-Cairo-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering - Other · AutoCAD · Civil · Engineering · Tendering · tender · Architectural Engineering
General Accountant,https://wuzzuf.net/jobs/p/76ZoTE4OYOxY-General-Accountant-ATC-Cairo-Egypt,Full TimeOn-site,ATC,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Banking · Accounts Payable · Finance
ERP Application Consultant,https://wuzzuf.net/jobs/p/mlaIwmuIso5x-ERP-Application-Consultant-Rednet-It-Services-Cairo-Egypt,Full TimeOn-site,Rednet It Services,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 5 Yrs of Exp · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · ERP · Accounting · Microsoft SQL Server · C#.Net · Software Development · Software Engineering
Costing specialist,https://wuzzuf.net/jobs/p/UvJntXEdZ1Ay-Costing-specialist-Royal-Cement-Cairo-Egypt,Full TimeOn-site,Royal Cement,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Accounting/Finance · Cost Control · English · Accounting · Finance · SAP · Commerce · Construction
Quality Section Head- (Logistics Background),https://wuzzuf.net/jobs/p/qm0aTJlmegZO-Quality-Section-Head--Logistics-Background-Giza-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteSenior Management · 7+ Yrs of Exp · Logistics/Supply Chain · Operations/Management · Quality · 3PL · Quality Management · quality · Quality Assurance · Quality Control · Warehousing · food safety
Surveyor,https://wuzzuf.net/jobs/p/QrHNJJhFui7Y-Surveyor-Sharm-Dreams-Group-Giza-Egypt,Full TimeOn-site,Sharm Dreams Group,"<span class=""css-5wys0k"">Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3+ Yrs of Exp · Engineering - Other · Construction · Engineering
Senior Full Stack Developer,https://wuzzuf.net/jobs/p/nJSD7MabdheF-Senior-Full-Stack-Developer-Holoolmed-Cairo-Egypt,Full TimeOn-site,Holoolmed,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Agile · React · jQuery · JavaScript · SQL · Computer Science · Git
Junior R&D Engineer,https://wuzzuf.net/jobs/p/kNCvi9CEZDlo-Junior-RD-Engineer-Pro-Light-Egypt-Giza-Egypt,Full TimeHybrid,Pro Light Egypt,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeHybridEntry Level · 1 - 3 Yrs of Exp · R&D/Science · Engineering - Mechanical/Electrical · Electronics · Engineering · PCB · PCB Design
Senior Financial Auditor,https://wuzzuf.net/jobs/p/Yw86iFMf7jdu-Senior-Financial-Auditor-MBCC-Egypt-Cairo-Egypt,Full TimeOn-site,MBCC Egypt,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Accounting/Finance · finance auditor · Finance · Auditing · cement · auditor
Odoo Implementer,https://wuzzuf.net/jobs/p/pbHvZkjpyoog-Odoo-Implementer-SERA-Group-Cairo-Egypt,Full TimeOn-site,SERA Group,"<span class=""css-5wys0k"">Obour City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 2 Yrs of Exp · Accounting/Finance · IT/Software Development · ERP · Implementation · Odoo · Commerce · Computer Science · Information Technology (IT)
Senior Copywriter/Content Creator (E-Commerce),https://wuzzuf.net/jobs/p/UuCk0rUifJmP-Senior-CopywriterContent-Creator-E-Commerce-Kampaign-Agency-Giza-Egypt,Full TimeOn-site,Kampaign Agency ,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Marketing/PR/Advertising · Content Creation · copywriter · Content · Writing · SEO
Marketing Supervisor,https://wuzzuf.net/jobs/p/eBFTxTyMLYyh-Marketing-Supervisor-EGIC-Cairo-Egypt,Full TimeOn-site,EGIC,"<span class=""css-5wys0k"">Manial, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Marketing/PR/Advertising · Management · Market Research · ROI · Sales · Research · Communication · Marketing · Microsoft Office · Digital
Treasury Accountant,https://wuzzuf.net/jobs/p/QnDj1CDQGJZu-Treasury-Accountant-Dreem-Mashreq-Foods-Alexandria-Egypt,Full TimeOn-site,Dreem Mashreq Foods ,"<span class=""css-5wys0k"">Smouha, <!-- -->Alexandria, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Accounting/Finance · Banking · Accounting · Finance · ERP systems · excel · inventory · Treasury · Financial Analysis · ERP
Senior Planning Engineer,https://wuzzuf.net/jobs/p/quOL4xo04l81-Senior-Planning-Engineer-Giza-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Sheikh Zayed, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Primavera · Planning · Construction · Engineering · Civil · Architectural Engineering · Mechanical Engineering · Network Infrastructure
SEO Manager,https://wuzzuf.net/jobs/p/tENrzcwWFKb7-SEO-Manager-Mediboost-Cairo-Egypt,Full TimeRemote,Mediboost,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeRemoteExperienced · 5+ Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Digital Marketing · Project Management · SEO · Team management · Leadership
Accountant,https://wuzzuf.net/jobs/p/vv78JXPNw76B-Accountant-Venus-International-Free-Zone-Beheira-Egypt,Full TimeOn-site,Venus International Free Zone  ,"<span class=""css-5wys0k"">Abu Almatamir, <!-- -->Beheira, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 12 Yrs of Exp · males_only · Accounting/Finance · Administration · Banking · Accounting · Finance · Financial Analysis
Chief Accountant,https://wuzzuf.net/jobs/p/epXFjHO9UoL7-Chief-Accountant-International-Business-Systems-I-B-S-Cairo-Egypt,Full TimeOn-site,International Business Systems I.B.S.,"<span class=""css-5wys0k"">Mokattam, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 3 - 5 Yrs of Exp · Accounting/Finance · Operations/Management · Accounting · Accounting Software · CMA · CPA · Financial Analysis · SAP · General Ledger
Electrical Engineer,https://wuzzuf.net/jobs/p/THSd184Wo806-Electrical-Engineer-Contracting-and-housing-company-Cairo-Egypt,Full TimeOn-site,Contracting and housing company,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · Engineering - Other · Electrical Engineer · Electrical Engineering · Electrical
Senior Production Engineer,https://wuzzuf.net/jobs/p/roVwDDfRGcLt-Senior-Production-Engineer-TechnoBit-Group-Cairo-Egypt,Full TimeOn-site,TechnoBit Group,"<span class=""css-5wys0k"">Obour City, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · Manufacturing/Production · Engineering - Other · Production · Engineering · Manufacturing · Communication Skills · CAD · MS Office · Skills · Communication
Real Time Analyst,https://wuzzuf.net/jobs/p/gBvIZqibvNRv-Real-Time-Analyst-Safa-International-Travel-Giza-Egypt,Full TimeOn-site,Safa International Travel,"<span class=""css-5wys0k"">Dokki, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · workforce · Call Center · Operations · MS Office · Customer Service
Financial Manager,https://wuzzuf.net/jobs/p/ltGQnPt0Uuzn-Financial-Manager-SAH-Company-Cairo-Egypt,Full TimeOn-site,SAH Company ,"<span class=""css-5wys0k"">New Nozha, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 8 - 10 Yrs of Exp · females_preferred · Accounting/Finance · Operations/Management · Finance · Accounting · Management
OD & Performance Managment Senior Specialist,https://wuzzuf.net/jobs/p/BIW1Zraq9ZIU-OD-Performance-Managment-Senior-Specialist-Square-Engineering-Firm-Cairo-Egypt,Full TimeOn-site,Square Engineering Firm,"<span class=""css-5wys0k"">Madinaty, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 4 - 8 Yrs of Exp · Human Resources · Management · Organizational Development · Human Resources (HR) · Performance · OD · Performance Management · Development · Human Resources
OD & Learning Specialist,https://wuzzuf.net/jobs/p/uTgPTo98xXLY-OD-Learning-Specialist-etisal-for-advanced-industries-Giza-Egypt,Full TimeOn-site,etisal for advanced industries ,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · females_preferred · Human Resources · Human Resources (HR) · OD · Microsoft Office · English · L&D · Recruitment
Corporate Sales Executive - Egypt,https://wuzzuf.net/jobs/p/x01geNLi0KfH-Corporate-Sales-Executive---Egypt-Air-Arabia-Cairo-Egypt,Full TimeOn-site,Air Arabia,"<span class=""css-5wys0k"">Sheraton, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail · Communication skills · Sales · sales skills · Presentation Skills · MS Office · Customer Service · Negotiation
Senior Quality Assurance Specialist,https://wuzzuf.net/jobs/p/d9ft1ZcN6CjI-Senior-Quality-Assurance-Specialist-Giza-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · R&D/Science · Quality · Quality · QA · Microsoft Office · Management · Time Management · Quality Assurance · ISO 9001 · Iso 45001
Chemist,https://wuzzuf.net/jobs/p/AmxEVZuRVhJu-Chemist-Al-Ahly-Medical-Company-Cairo-Egypt,Full TimeOn-site,Al Ahly Medical Company,"<span class=""css-5wys0k"">Mokattam, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 1+ Yrs of Exp · males_preferred · R&D/Science · Pharmaceutical · Chemistry · Science · Healthcare · Pharmaceutical
Accountant,https://wuzzuf.net/jobs/p/GtaL66M5niHN-Accountant-orgafresh-Cairo-Egypt,Full TimePart TimeOn-site,orgafresh,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimePart TimeOn-siteExperienced · 4 - 7 Yrs of Exp · males_preferred · Accounting/Finance · Accounting · Finance · Financial Management · CMA · CPA · excel · Financial Analysis · MS Excel · Accounting Software
Cost Accountant,https://wuzzuf.net/jobs/p/kmgQSRR9mx9g-Cost-Accountant-Tredco-Sharqia-Egypt,Full TimeOn-site,Tredco,"<span class=""css-5wys0k"">10th of Ramadan City, <!-- -->Sharqia, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · accountant · Accounting Software · Cost Accounting · Finance · Financial Analysis · excel
Planning Engineer,https://wuzzuf.net/jobs/p/LhDkEDRY5Dka-Planning-Engineer-Projecs-International-Giza-Egypt,Full TimeOn-site,Projecs International,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Civil Engineering · Project Management · Scheduling · Primavera · Planning · CPM
CRM Manager,https://wuzzuf.net/jobs/p/2fo8E1il2G0s-CRM-Manager-JDAR-Development-Giza-Egypt,Full TimeOn-site,JDAR Development ,"<span class=""css-5wys0k"">Mohandessin, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteManager · 4 - 9 Yrs of Exp · Customer Service/Support · CRM · Customer Service · analytical · Communication skills · Customer Acquisition
Cost Accountant,https://wuzzuf.net/jobs/p/hdH38bGFznpq-Cost-Accountant-Jazeera-Paints-Sharqia-Egypt,Full TimeOn-site,Jazeera Paints,"<span class=""css-5wys0k"">10th of Ramadan City, <!-- -->Sharqia, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Accounting Software · Finance · Financial · ERP · SAP
Procurement Associate Manager/Manager,https://wuzzuf.net/jobs/p/PAQ4Mr4sT5yn-Procurement-Associate-ManagerManager-Elsewedy-industries-Cairo-Egypt,Full TimeOn-site,Elsewedy industries,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 8+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Logistics/Supply Chain · Purchasing/Procurement · Procurement · Construction · Heavy Equipment · Ready Mix Concrete · Spare Parts
Safety Officer,https://wuzzuf.net/jobs/p/A4V2rMyrgkDw-Safety-Officer-Genedy-Group-Construction-Cairo-Egypt,Full TimeOn-site,Genedy Group Construction ,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Quality · Engineering - Other · Health and Safety · NEBOSH · OSHA · quality · Safety · Safety Management · Construction
Quality Control/Quality Assurance,https://wuzzuf.net/jobs/p/lHMmSQmuKLjM-Quality-ControlQuality-Assurance-Progoodness-Foods-Giza-Egypt,Full TimeOn-site,Progoodness Foods,"<span class=""css-5wys0k"">6th of October, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · R&D/Science · Hospitality/Hotels/Food Services · Food Science · Food Safety · R&amp;D · Science · Research · Microsoft Excel · Safety · Product Development
Business Developer,https://wuzzuf.net/jobs/p/MOPxgHfmXxdu-Business-Developer-Massachusetts-Cairo-Egypt,Full TimeOn-site,Massachusetts,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 7 - 10 Yrs of Exp · Business Development · Sales/Retail · Business Development · business · Development · Communication · Marketing · Management · sales skills · English
Senior Quality Control Engineer (Fruits & Vegetables Facility),https://wuzzuf.net/jobs/p/2CqDA3JoiF4S-Senior-Quality-Control-Engineer-Fruits-Vegetables-Facility-Breadfast-Cairo-Egypt,Full TimeOn-site,Breadfast,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Quality · Quality Control · Quality control engineer · quality
Business Development Engineer,https://wuzzuf.net/jobs/p/R5OCSGXYtkJq-Business-Development-Engineer-Sweven-Construction-Cairo-Egypt,Full TimeRemote,Sweven Construction,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeRemoteExperienced · 3 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · Business Development · Marketing/PR/Advertising · Business Development · Engineering · Engineering Field · Architecture · Civil Engineering · Fit-Out · Sales Engineering
Procurement Officer,https://wuzzuf.net/jobs/p/hN8757P8WBuv-Procurement-Officer-Saudi-firmness-Cairo-Egypt,Full TimeOn-site,Saudi-firmness,"<span class=""css-5wys0k"">Katameya, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · Procurement · Engineering · Purchasing · Supply Chain
Reservations And Ticketing Agent,https://wuzzuf.net/jobs/p/ZKnIqWjwHNmO-Reservations-And-Ticketing-Agent-classera-Cairo-Egypt,Full TimeOn-site,classera,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · Accounting/Finance · Customer Service/Support · Tourism/Travel · Administration · Customer Support · English · Tourism · Customer Care · Customer Service
Finance & Administration Manager,https://wuzzuf.net/jobs/p/al7FEMgDuXGJ-Finance-Administration-Manager-International-Committee-of-Red-Cross-Cairo-Egypt,Full TimeOn-site,International Committee of Red Cross,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 15 - 15 Yrs of Exp · Accounting/Finance · Administration · Operations/Management · Accounting · Finance · Financial · Management · Administration
Senior Full stack Java developer,https://wuzzuf.net/jobs/p/Q4zr4d5FqcUo-Senior-Full-stack-Java-developer-MTS-IT-Cairo-Egypt,Full TimeOn-site,MTS-IT,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Full Stack · Information Technology (IT) · Software Development · CSS · spring Framework · Java SE
Junior Business Developer,https://wuzzuf.net/jobs/p/nWlb7e1Mxsjn-Junior-Business-Developer-Gulf-Data-International-Cairo-Egypt,Full TimeOn-site,Gulf Data International ,"<span class=""css-5wys0k"">Heliopolis, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 2 Yrs of Exp · Business Development · Human Resources · Sales/Retail · Negotiation · negotiation skills · reports · sales skills · Sales · Sales Target · Business Development
Planning Engineer,https://wuzzuf.net/jobs/p/npkOS4Te4oox-Planning-Engineer-Protection-Beheira-Egypt,Full TimeHybrid,Protection,"<span class=""css-5wys0k"">Kafr Aldawar, <!-- -->Beheira, <!-- -->Egypt </span>",Full TimeHybridEntry Level · 2 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering - Other · Planning · Civil · Primavera · Project Management · Construction · Engineering · Management
Mechanical Maintenance Engineer (Minya),https://wuzzuf.net/jobs/p/ylpA9bDKjmrG-Mechanical-Maintenance-Engineer-Minya-Asfour-Crystal-Minya-Egypt,Full TimeOn-site,Asfour Crystal,"<span class=""css-5wys0k"">Minya, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · Maintenance · Mechatronics · troubleshoot · Production · Mechatronics Engineering · English
Spanish Quality Analyst,https://wuzzuf.net/jobs/p/UDlRo2WZC8MD-Spanish-Quality-Analyst-Teleperformance---Egypt-Cairo-Egypt,Full TimeOn-site,Teleperformance Egypt,"<span class=""css-5wys0k"">Katameya, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Quality · Quality Assurance · Spanish · quality · Customer Service
Quality Analyst - Italian Speaker,https://wuzzuf.net/jobs/p/7YKtkAkC5AGH-Quality-Analyst---Italian-Speaker-Teleperformance---Egypt-Cairo-Egypt,Full TimeOn-site,Teleperformance Egypt,"<span class=""css-5wys0k"">Katameya, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 4 Yrs of Exp · Quality · Analyst/Research · QA · Quality Assurance · Italian · quality · Quality Control
Quality Analyst - German Speaker,https://wuzzuf.net/jobs/p/sJnIqcnto2h4-Quality-Analyst---German-Speaker-Teleperformance---Egypt-Cairo-Egypt,Full TimeOn-site,Teleperformance Egypt,"<span class=""css-5wys0k"">Katameya, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 4 Yrs of Exp · Quality · Analyst/Research · QA · Quality Assurance · German · quality · Quality Control · german speaker
French Quality Assurance Analyst,https://wuzzuf.net/jobs/p/oapw5K3bu37W-French-Quality-Assurance-Analyst-Teleperformance---Egypt-Cairo-Egypt,Full TimeOn-site,Teleperformance Egypt,"<span class=""css-5wys0k"">Katameya, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 1 - 1 Yrs of Exp · Customer Service/Support · Quality · French · Quality Analyst · Customer Service
Planning Specialist - Experienced In GOLD Manufacturing Field,https://wuzzuf.net/jobs/p/QI8uAbfE91s1-Planning-Specialist---Experienced-In-GOLD-Manufacturing-Field-Selema-Gold-Cairo-Egypt,Full TimeOn-site,Selema Gold,"<span class=""css-5wys0k"">Bab Alshareya, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteManager · 7 - 15 Yrs of Exp · Manufacturing/Production · Manufacturing · Management · Planning · Production · Supply Chain · supply chain management · gold
Senior Sales online ( E-commerce),https://wuzzuf.net/jobs/p/Q8RaTvDdJetP-Senior-Sales-online-E-commerce-Cairo-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Heliopolis, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 4 - 5 Yrs of Exp · Customer Service/Support · Sales/Retail · E-Commerce · online · Online Sales · sales skills · Sales · Sales Specialist · Sales Target · Communication
Accounting Manager,https://wuzzuf.net/jobs/p/VTE16MyA7907-Accounting-Manager-Cairo-Egypt,Full TimeRemote,Confidential,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeRemoteManager · 10 - 15 Yrs of Exp · Accounting/Finance · Accounting · Financial Management · Accounting Software · Finance · Hospitality
